Time,City,Id,parameter,value,status,valid
2017-02-06T09:35:00+02:00,Modiin Hinanit,31,Temp,15.0,2,False
2017-02-06T09:35:00+02:00,Modiin Hinanit,31,StWd,42.8,1,True
2017-02-06T09:35:00+02:00,Modiin Hinanit,31,PM2.5,-27.3,2,False
2015-12-22T08:50:00+02:00,Yad Rambam 1,40,SO2,1.4,1,True
2015-12-22T08:50:00+02:00,Yad Rambam 1,40,NOX,70.8,1,True
2015-12-22T08:50:00+02:00,Yad Rambam 1,40,NO,47.3,1,True
2015-12-22T08:50:00+02:00,Yad Rambam 1,40,NO2,23.5,1,True
2015-12-22T08:50:00+02:00,Yad Rambam 1,40,PM10,80.0,1,True
2025-01-19T21:00:00+02:00,Modiin,64,SO2,1.8,1,True
2025-01-19T21:00:00+02:00,Modiin,64,WS,3.6,1,True
2025-01-19T21:00:00+02:00,Modiin,64,WD,107.0,1,True
2025-01-19T21:00:00+02:00,Modiin,64,O3,33.4,1,True
2025-01-19T21:00:00+02:00,Modiin,64,NOX,13.6,1,True
2025-01-19T21:00:00+02:00,Modiin,64,NO,0.7,1,True
2025-01-19T21:00:00+02:00,Modiin,64,NO2,12.9,1,True
2025-01-19T21:00:00+02:00,Modiin,64,PM10,55.5,1,True
2025-01-19T21:00:00+02:00,Carmei Yosef,76,SO2,1.5,1,True
2025-01-19T21:00:00+02:00,Carmei Yosef,76,WS,1.6,1,True
2025-01-19T21:00:00+02:00,Carmei Yosef,76,WD,106.0,1,True
2025-01-19T21:00:00+02:00,Carmei Yosef,76,O3,34.3,1,True
2025-01-19T21:00:00+02:00,Carmei Yosef,76,NOX,14.0,1,True
2025-01-19T21:00:00+02:00,Carmei Yosef,76,NO,0.9,1,True
2025-01-19T21:00:00+02:00,Carmei Yosef,76,NO2,13.1,1,True
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,SO2,1.5,1,True
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,WS,-9999.0,0,False
